id_str,text
5.4433E+17,"RT @tomsteinfort: Terrifying photo of hostages in Martin Place in Sydney, being held by men waving an ISIS flag http://t.co/6ozBRQVNlG"
5.4433E+17,"RT @MaajidNawaz: This is flag used in Sydney attack.Ideologically,it's Islamist.Operationally,could be al-Qaida,ISIL,or ""self-starter"" httpŠ—_"
5.4433E+17,Black standard flag in Martin Place siege symbol of jihad and ISIS http://t.co/KGBXHHuB9nŠ—ŽŠ—ŽBlack flag black mind.
5.4433E+17,"RT @NBCNews: Flag held by Sydney hostage often used by Jabhat Al-Nusra &amp; other armed Islamist groups, but not ISIS, expert says http://t.coŠ—_"
5.4433E+17,Hostages Taken in #Sydney Cafe as Islamic Flag Reportedly Flown #Australia #ISIS #sydneysiege  http://t.co/wdH5naYO01
5.4433E+17,"@someone92883220 the ""expert"" giving #NBC false #Sydney #Australia flag info is from #newyork firm #ISIS posted on hostage pics"
5.4433E+17,RT @DailyMailAU: SYDNEY SIEGE: Gunman forces hostages to hold up ISIS flag in window http://t.co/9K3XXEiSFa http://t.co/cATxCjYXpy
5.4433E+17,RT @BiryaniNazi: @AsnaSays someone has taken few people hostage in a cafe in Sydney.. carrying a flag of ISIS :(
5.4433E+17,"RT @NBCNews: Flag held by Sydney hostage often used by Jabhat Al-Nusra &amp; other armed Islamist groups, but not ISIS, expert says http://t.coŠ—_"
