id_str,lang,created_ts,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id_str,text,user.id_str,user.screen_name,user.friends_count,user.statuses_count,user.followers_count,user.favourites_count,user.utc_offset,user.time_zone,user.created_ts,codes.0.first_code,codes.0.second_code.0,codes.0.second_code.1,codes.0.second_code.2,codes.0.second_code.3,geo.coordinates.0,geo.coordinates.1,entities.user_mentions.0.id_str,entities.user_mentions.0.screen_name,entities.user_mentions.1.id_str,entities.user_mentions.1.screen_name,entities.user_mentions.2.id_str,entities.user_mentions.2.screen_name,entities.user_mentions.3.id_str,entities.user_mentions.3.screen_name,entities.user_mentions.4.id_str,entities.user_mentions.4.screen_name,entities.user_mentions.5.id_str,entities.user_mentions.5.screen_name,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.urls.0.display_url,entities.urls.0.expanded_url,entities.urls.1.display_url,entities.urls.1.expanded_url,entities.urls.2.display_url,entities.urls.2.expanded_url,retweeted_status.id_str,retweeted_status.created_at,retweeted_status.text,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.user.screen_name,retweeted_status.user.id_str,retweeted_status.user.time_zone,retweeted_status.user.friends_count,retweeted_status.user.statuses_count,retweeted_status.user.followers_count
544386047455395841,en,2014-12-15T06:58:42Z,,,,Hands up anyone who could spare an ISIL flag? #sydneysiege,255440241,fitzgerald_qld,1757,1705,527,14,36000,Brisbane,2011-02-21T11:01:30Z,Unrelated,,,,,,,,,,,,,,,,,,,sydneysiege,,,,,,,,,,,,,,,,,,,,,,
544305932688429057,en,2014-12-15T01:40:21Z,,,,"At a TeaParty rally they pay someone to hold a Confederate Flag just happ to find it, but Isis type flag is just for attention #sydneySiege",34124867,rwmccrory,3013,26905,2818,144,-18000,Eastern Time (US & Canada),2009-04-22T01:17:15Z,Affirm,Adjudicate,,,,,,,,,,,,,,,,,,sydneySiege,,,,,,,,,,,,,,,,,,,,,,
544307127289143296,en,2014-12-15T01:45:06Z,,,,"The flag being displayed IS NOT from ISIS, but it is generally used by extremist groups. Do not claim it's from ISIS. #sydneysiege",15907183,cmclymer,1903,16766,18848,6970,-18000,Eastern Time (US & Canada),2008-08-19T18:00:06Z,Deny,Adjudicate,,,,,,,,,,,,,,,,,,sydneysiege,,,,,,,,,,,,,,,,,,,,,,
544307302983933952,en,2014-12-15T01:45:48Z,,,,A Black Standard Isis flag has been hung on the inside of the Lindt cafe. Things aren't looking good. Police fear that this may not end well,1913330173,Julia_sheeds,135,553,32,180,39600,Solomon Is.,2013-09-28T06:12:01Z,Affirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544308011112484864,en,2014-12-15T01:48:37Z,,,,It's not..... The.. ISIS... Flag #SydneyHostageCrisis,2286393056,Tannie88_,240,1802,101,3786,36000,Brisbane,2014-01-11T09:58:48Z,Deny,,,,,,,,,,,,,,,,,,,SydneyHostageCrisis,,,,,,,,,,,,,,,,,,,,,,
